,Country,Region,GDP per Capita,Air Quality,Biodiversity,CO2 per Capita,Water Sanitation,Happiness Score
0,Denmark,Western Europe,54663.99837,86.98,97.6,6.21,99.71,7.526
1,Switzerland,Western Europe,80172.1933,72.09,90.43,4.91,99.93,7.5089999999999995
2,Iceland,Western Europe,61757.94931,97.04,66.04,11.71,99.29,7.501
3,Norway,Western Europe,70460.56053,94.59,82.2,8.66,98.86,7.497999999999999
4,Finland,Western Europe,43777.44009,93.77,96.93,8.87,98.57,7.412999999999999
5,Canada,North America,42279.900819999995,91.16,74.5,16.18,99.65,7.404
6,Netherlands,Western Europe,46007.85292,69.32,90.38,10.03,98.65,7.3389999999999995
7,New Zealand,Australia and New Zealand,40026.8522,95.67,92.75,7.55,100.0,7.334
8,Australia,Australia and New Zealand,49971.131460000004,96.13,87.18,17.22,100.0,7.313
9,Sweden,Western Europe,51974.196560000004,93.26,88.76,4.57,99.57,7.291
10,Israel,Middle East and Northern Africa,37321.624039999995,70.5,71.29,8.09,100.0,7.267
11,Austria,Western Europe,45237.805089999994,72.19,93.33,7.99,100.0,7.119
12,United States,North America,57904.201960000006,89.73,79.35,16.02,99.17,7.104
13,Costa Rica,Latin America and Caribbean,11666.455909999999,93.94,90.52,1.74,87.62,7.087000000000001
14,Germany,Western Europe,42098.92045,69.88,100.0,9.65,99.5,6.994
15,Brazil,Latin America and Caribbean,8712.887044,91.78,92.62,2.38,84.42,6.952000000000001
16,Belgium,Western Europe,42012.0999,60.91,100.0,9.08,99.64,6.928999999999999
17,Ireland,Western Europe,63197.082370000004,94.39,90.51,8.21,94.02,6.907
18,Luxembourg,Western Europe,104278.391,82.54,100.0,16.18,98.57,6.871
19,Mexico,Latin America and Caribbean,8739.756043000001,79.55,78.66,3.89,80.79,6.778
20,Singapore,Southeastern Asia,56724.17039,87.8,72.26,9.32,100.0,6.739
21,United Kingdom,Western Europe,41074.16728,86.78,98.98,5.93,99.5,6.725
22,Chile,Latin America and Caribbean,13748.08766,88.4,75.15,4.98,94.47,6.705
23,Panama,Latin America and Caribbean,14356.32405,94.21,87.93,2.78,77.81,6.7010000000000005
24,Argentina,Latin America and Caribbean,12790.242470000001,92.37,69.72,4.87,93.05,6.65
25,Czech Republic,Central and Eastern Europe,18463.386580000002,61.99,100.0,10.33,98.93,6.596
